ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North West ,E06000050,Cheshire West and Chester,"17,154","18,500","18,308","19,863","20,266","21,586","22,233","23,053","24,605","26,238","26,533","27,349","28,870","28,794","29,160","30,072","31,390","30,560","31,742","33,826","34,094","35,819","33,220","36,714","39,841","43,099"
North West ,E06000006,Halton,"19,908","20,973","22,002","22,599","23,406","25,256","25,445","26,614","28,659","27,651","29,356","29,567","30,301","30,612","29,160","30,558","32,302","33,393","33,352","34,403","35,684","36,947","33,776","36,930","40,261","43,822"
North West ,E08000011,Knowsley,"12,350","12,655","12,796","13,639","14,160","15,165","15,815","15,833","16,722","17,446","18,196","17,858","19,410","20,169","20,831","22,644","23,695","24,459","26,003","27,550","26,826","27,906","26,048","29,072","30,404","32,499"
North West ,E08000013,St. Helens,"10,478","11,339","11,843","12,425","13,162","13,839","14,479","14,929","15,920","16,460","16,514","16,156","17,009","16,999","16,417","16,833","17,420","17,675","17,903","17,980","18,344","18,781","17,274","19,422","19,983","20,652"
North West ,E08000012,Liverpool,"14,475","15,442","16,428","17,599","18,549","20,302","21,499","22,453","24,391","24,371","25,515","26,326","26,660","26,819","26,342","26,858","28,166","28,638","28,826","29,774","30,153","32,439","31,200","35,005","37,803","40,392"
North West ,E08000014,Sefton,"8,754","9,395","9,716","10,321","11,072","11,811","12,475","12,894","13,684","13,926","14,404","14,471","15,030","14,898","14,838","15,244","15,747","16,189","16,742","17,406","17,875","18,137","17,714","20,163","21,346","22,550"
North West ,E08000015,Wirral,"9,419","10,141","10,466","11,085","11,720","12,550","13,378","13,620","14,348","14,565","14,971","14,883","15,292","15,554","15,670","16,139","16,725","17,482","17,365","18,115","18,543","19,563","19,085","20,321","22,098","23,944"
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","13,145","13,746","14,766","15,593","16,670","17,821","18,200","18,863","20,549","21,492","23,438","23,324","22,476","21,941","22,103","22,220","22,354","23,311","23,898","24,638","25,364","25,742","23,170","27,135","28,363","30,522"
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"13,602","13,544","14,018","14,558","15,520","16,360","17,354","17,905","18,805","18,973","19,109","18,155","17,853","18,083","18,557","19,252","20,149","21,066","21,441","22,312","23,672","24,562","23,344","26,815","28,354","30,172"
Yorkshire and The Humber,E06000012,North East Lincolnshire,"12,602","12,990","13,526","14,060","14,570","15,289","15,883","16,519","17,325","18,461","18,732","18,414","18,214","18,950","19,166","19,956","21,226","22,210","22,315","22,962","22,984","24,115","24,367","27,803","28,644","30,755"
