ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
South East ,E07000064,Rother,"9,635","10,224","10,653","11,265","11,630","12,071","12,323","12,891","13,416","13,750","14,348","13,712","13,786","13,989","13,947","14,707","15,390","16,379","16,975","16,693","16,758","17,803","17,482","19,365","20,157","21,357"
South East ,E07000065,Wealden,"11,754","12,469","12,953","13,348","13,765","14,039","14,121","14,707","15,228","15,557","16,507","15,515","16,050","16,197","16,210","16,555","17,385","18,163","18,687","19,292","19,666","20,206","19,194","20,830","22,160","23,679"
South East ,E07000207,Elmbridge,"22,738","23,893","25,372","26,149","26,057","26,572","27,155","27,715","29,321","29,990","30,948","29,588","30,382","31,700","32,136","33,139","39,665","44,084","46,349","48,789","51,403","55,454","53,632","53,691","53,338","59,661"
South East ,E07000209,Guildford,"23,323","24,441","25,873","26,202","27,112","28,053","28,881","30,080","31,514","32,507","34,076","33,455","34,517","34,151","35,106","36,282","36,243","38,367","38,235","38,197","40,341","43,390","42,444","45,749","47,856","49,203"
South East ,E07000212,Runnymede,"33,630","36,037","37,321","39,075","41,334","43,261","44,489","45,557","48,931","51,189","55,127","55,833","56,256","56,360","61,168","64,753","68,850","67,632","70,775","76,729","76,523","79,941","83,861","76,488","87,834","88,372"
South East ,E07000213,Spelthorne,"19,881","21,344","23,015","23,631","23,886","24,784","25,433","27,242","28,210","28,530","29,635","28,272","28,847","29,312","29,634","30,335","31,003","32,036","32,035","32,504","33,771","36,061","36,921","38,474","43,620","44,680"
South East ,E07000214,Surrey Heath,"24,605","25,270","26,592","27,404","27,939","28,972","29,494","30,224","32,081","33,163","33,736","32,723","35,806","35,951","37,623","39,236","36,597","39,376","38,523","38,734","43,080","47,470","48,099","45,247","46,824","47,489"
South East ,E07000216,Waverley,"17,531","18,488","19,705","20,488","21,186","22,062","22,572","23,690","25,176","25,623","26,638","25,637","26,181","26,724","26,107","26,862","27,831","29,434","28,673","29,132","28,921","30,114","29,901","31,717","33,420","34,317"
South East ,E07000217,Woking,"21,718","23,124","24,831","25,594","26,599","27,420","27,922","29,073","30,637","30,917","31,965","30,731","31,086","31,541","31,019","32,472","35,180","32,888","32,793","33,109","34,074","33,469","31,849","33,052","33,966","35,328"
South East ,E07000208,Epsom and Ewell,"15,658","16,453","17,406","18,088","18,896","19,430","19,844","20,228","21,468","21,788","22,506","21,763","22,274","22,264","23,004","22,159","22,781","23,673","24,137","23,993","23,709","24,729","24,021","24,744","26,905","29,389"
South East ,E07000210,Mole Valley,"27,529","28,893","30,780","32,079","32,983","33,514","35,479","37,690","40,791","41,924","42,616","41,482","42,315","43,047","49,975","55,284","55,416","49,153","50,353","50,837","52,254","53,853","49,990","50,363","58,070","66,797"
South East ,E07000211,Reigate and Banstead,"36,144","37,238","38,173","39,347","40,281","40,774","43,753","46,081","51,393","52,922","52,347","53,253","53,653","51,964","52,491","53,368","52,151","51,487","48,451","50,476","44,274","44,602","40,458","43,729","49,186","51,508"
South East ,E07000215,Tandridge,"15,298","16,233","16,824","17,238","18,141","18,764","19,098","19,785","20,783","21,457","22,228","20,816","21,761","22,006","20,882","21,790","23,808","25,105","25,342","24,471","24,842","25,843","24,082","26,174","28,689","31,651"
South East ,E07000223,Adur,"12,579","13,113","13,613","14,099","14,363","14,791","15,074","15,864","16,685","17,256","17,779","16,854","17,470","17,514","18,037","17,249","17,754","18,884","19,234","19,825","20,211","20,649","20,283","20,862","23,216","24,724"
South East ,E07000224,Arun,"10,241","10,599","10,888","11,408","11,753","12,203","12,283","12,593","12,954","13,320","14,004","13,209","13,832","14,208","14,528","15,243","15,667","15,764","16,421","16,778","17,514","17,858","16,825","18,406","20,172","22,056"
South East ,E07000225,Chichester,"17,713","18,269","19,296","19,703","20,251","21,087","21,377","22,253","23,055","23,271","24,799","24,223","24,735","25,532","26,385","27,428","27,887","29,286","29,767","30,988","31,397","32,830","30,535","31,880","34,042","36,391"
South East ,E07000229,Worthing,"17,179","20,112","20,877","20,952","23,571","25,122","24,980","24,511","25,664","27,006","28,298","26,432","27,814","28,010","29,402","30,036","29,306","30,350","32,820","36,797","38,621","40,552","40,880","42,548","43,821","46,930"
South East ,E07000226,Crawley,"34,928","35,843","36,087","35,888","37,718","38,707","38,601","38,338","40,725","42,519","45,085","43,330","45,069","45,456","47,257","49,222","50,234","53,322","54,966","57,684","57,651","58,520","43,902","46,577","52,297","55,297"
South East ,E07000227,Horsham,"16,422","17,574","18,175","18,584","19,587","20,116","20,217","21,048","21,769","22,543","23,928","22,662","23,440","24,054","24,440","23,156","24,003","24,227","25,110","25,349","27,579","27,880","26,912","27,547","28,919","33,058"
South East ,E07000228,Mid Sussex,"15,055","15,834","16,743","17,259","17,718","18,346","18,743","19,411","20,233","20,897","21,747","20,905","21,494","21,836","22,265","22,419","22,897","24,070","24,405","25,073","25,581","27,171","26,131","27,001","29,127","31,077"
South East ,E06000044,Portsmouth,"16,498","17,143","17,898","18,773","19,825","20,559","21,636","22,552","23,402","25,100","26,446","25,784","26,145","26,604","28,107","28,990","29,968","29,808","29,702","31,359","31,856","34,276","33,604","35,287","37,370","41,317"
South East ,E06000045,Southampton,"16,992","17,383","17,862","18,573","19,896","20,984","22,990","23,977","24,496","25,834","27,104","27,610","28,309","30,210","30,350","30,975","31,675","33,376","33,427","36,382","37,566","38,839","36,909","38,746","39,491","42,580"
South East ,E06000046,Isle of Wight,"10,679","11,014","11,426","11,736","12,498","13,029","13,734","14,085","14,798","15,130","15,855","15,243","15,824","16,605","17,378","18,649","19,462","19,878","19,829","20,561","20,835","22,057","21,126","22,673","25,102","26,787"
South East ,E07000086,Eastleigh,"20,194","19,901","20,953","22,597","23,423","24,369","25,259","26,131","26,988","27,787","28,215","26,852","27,929","28,470","29,070","29,579","31,703","32,955","34,362","36,774","35,551","37,020","33,857","36,291","38,504","41,250"
South East ,E07000087,Fareham,"16,257","16,411","17,092","17,567","17,854","18,352","19,190","20,288","20,841","21,507","22,377","21,178","22,277","23,265","24,346","25,195","26,647","26,665","28,115","29,304","29,158","30,435","29,222","31,365","34,649","36,304"
South East ,E07000088,Gosport,"9,040","9,307","9,636","9,993","10,350","10,858","11,259","11,590","11,852","12,145","12,639","12,374","12,762","13,071","13,212","13,810","14,542","14,720","15,192","15,981","16,227","16,492","16,187","17,513","18,265","20,272"
South East ,E07000090,Havant,"14,200","14,221","14,948","15,307","16,282","16,092","16,992","17,821","18,603","19,817","20,946","20,751","22,546","23,291","24,884","26,093","26,059","26,051","26,178","25,504","24,301","24,373","23,604","23,293","25,186","26,661"
South East ,E07000085,East Hampshire,"15,612","16,247","16,862","17,311","17,901","18,318","18,618","19,583","20,106","20,545","21,253","20,517","21,211","22,053","22,536","22,282","22,670","23,328","23,141","24,106","24,748","26,208","24,530","25,384","27,089","27,737"
South East ,E07000091,New Forest,"16,455","16,367","17,165","18,217","18,425","19,532","20,540","20,924","21,174","21,886","22,242","21,648","22,811","23,260","23,338","24,734","24,847","25,942","27,081","28,001","29,179","30,770","29,026","31,022","34,718","36,597"
South East ,E07000093,Test Valley,"18,719","18,851","19,787","20,468","20,811","21,230","21,746","22,642","23,299","23,933","24,698","23,613","24,780","25,554","26,267","26,591","27,705","28,693","29,563","29,665","30,306","31,670","30,090","32,104","34,259","36,400"
South East ,E07000094,Winchester,"22,936","23,807","25,164","26,352","27,088","27,774","29,407","31,155","32,163","34,157","35,074","34,380","35,498","36,368","38,111","39,353","41,986","44,282","45,204","48,212","47,800","49,189","43,923","47,883","48,944","51,328"
South East ,E07000084,Basingstoke and Deane,"27,868","28,171","29,710","30,851","32,418","33,001","34,385","35,800","36,243","37,634","38,612","39,096","39,912","40,465","41,064","42,701","42,244","40,286","40,030","40,368","41,726","44,002","40,818","42,734","45,836","45,920"
South East ,E07000089,Hart,"21,073","21,790","24,135","26,048","27,825","28,007","28,891","29,775","30,374","32,497","33,113","31,005","32,799","33,753","33,528","36,491","36,942","39,855","41,604","34,573","35,798","37,978","34,558","35,605","37,921","39,667"
South East ,E07000092,Rushmoor,"18,504","18,568","19,975","21,609","23,154","24,226","25,977","27,131","27,897","29,882","31,295","30,978","32,562","33,429","33,848","34,335","34,723","36,295","39,458","50,977","57,706","65,815","67,234","71,652","72,082","80,299"
South East ,E06000035,Medway,"11,976","12,298","12,416","12,963","13,602","14,411","15,151","16,055","16,728","17,264","18,086","17,388","18,053","18,543","19,242","19,754","19,976","20,409","21,236","22,278","22,858","24,278","24,119","24,563","27,414","30,128"
South East ,E07000107,Dartford,"22,356","23,234","23,709","24,383","26,017","27,573","28,261","29,526","30,096","30,999","32,391","30,403","30,777","31,643","32,650","33,635","36,191","38,581","41,241","38,936","38,513","38,094","34,768","37,246","37,779","40,467"
South East ,E07000109,Gravesham,"10,097","10,302","10,417","10,838","11,547","11,982","12,345","12,786","12,980","13,491","14,395","13,558","14,168","14,460","15,254","15,625","15,862","16,487","17,376","17,838","18,472","19,710","19,330","20,909","23,306","23,871"
South East ,E07000113,Swale,"15,422","15,697","15,750","16,372","17,171","18,071","18,419","18,329","18,194","18,671","19,370","17,031","18,054","18,674","18,512","19,003","19,668","20,292","21,137","21,094","22,198","24,351","24,042","25,972","25,194","26,745"
South East ,E07000106,Canterbury,"13,889","14,176","14,425","15,199","15,808","16,552","17,325","18,315","18,709","19,309","20,424","19,782","20,512","20,910","21,013","21,611","22,597","22,382","22,076","23,433","24,678","24,948","23,970","26,505","27,966","30,512"
South East ,E07000108,Dover,"14,353","15,716","17,654","17,896","16,899","17,680","19,467","19,215","18,049","18,020","19,891","17,829","18,801","20,418","20,316","20,507","21,227","22,881","22,863","22,976","23,803","24,361","22,739","24,403","29,126","30,362"
South East ,E07000112,Folkestone and Hythe,"12,543","12,867","13,236","13,311","13,772","14,438","14,916","16,096","16,842","17,382","18,200","17,531","17,687","18,233","18,856","19,433","19,521","20,791","22,181","23,462","23,054","23,677","22,209","21,833","25,926","28,514"
South East ,E07000114,Thanet,"9,627","9,998","10,221","10,537","11,022","11,695","12,192","12,967","13,312","13,713","14,565","13,651","14,092","14,342","14,345","14,787","15,080","15,563","16,301","17,141","17,738","18,307","17,572","18,523","20,357","21,532"
South East ,E07000105,Ashford,"16,921","17,377","17,665","18,027","18,540","18,952","19,675","20,639","21,357","21,963","22,778","21,285","21,940","22,371","23,257","23,256","24,601","25,414","25,631","25,853","26,455","28,179","26,471","27,322","29,423","32,060"
South East ,E07000110,Maidstone,"16,314","16,764","17,312","18,078","18,670","19,782","20,632","21,348","21,809","22,672","23,690","22,272","23,057","23,599","23,284","24,031","24,746","25,600","26,322","26,938","28,112","29,764","29,084","30,309","32,419","33,787"
South East ,E07000111,Sevenoaks,"17,275","17,672","18,119","19,162","19,948","21,018","21,971","23,337","23,914","24,780","25,389","23,661","24,803","26,107","27,737","29,716","30,632","32,953","35,339","36,366","38,632","38,465","36,715","39,521","41,660","46,511"
South East ,E07000115,Tonbridge and Malling,"22,189","23,521","24,631","24,858","25,575","26,390","27,239","28,635","29,640","30,723","31,638","30,324","31,405","31,627","32,016","33,143","32,969","33,121","34,346","35,950","38,180","41,700","40,920","42,763","44,007","44,406"
South East ,E07000116,Tunbridge Wells,"19,478","19,896","19,619","20,414","20,806","21,583","22,784","24,679","25,003","25,119","26,117","25,643","26,431","27,685","27,626","27,938","28,478","31,511","33,835","34,554","33,771","34,151","32,260","33,795","36,425","38,565"
South West ,E06000052,Cornwall,"11,475","11,787","12,343","12,854","13,732","14,766","15,258","16,125","17,113","17,407","18,130","17,111","17,420","17,969","18,539","19,172","19,679","19,935","20,861","22,276","23,088","23,860","22,025","25,081","27,200","28,602"
South West ,E06000053,Isles of Scilly,"18,096","18,151","19,217","18,897","19,720","22,348","22,252","23,052","25,526","24,001","24,577","24,748","25,158","27,836","28,088","29,241","28,202","30,560","31,901","36,115","37,021","36,468","31,459","31,138","36,004","33,377"
South West ,E06000026,Plymouth,"12,857","13,620","13,860","14,648","15,160","16,024","17,522","17,844","18,824","18,997","19,716","19,213","19,976","20,599","21,184","21,652","22,099","22,732","23,369","23,964","24,701","25,256","23,435","26,934","28,689","30,446"
South West ,E06000027,Torbay,"10,591","11,131","11,199","11,532","11,927","12,461","13,742","14,290","15,042","15,307","15,627","14,970","15,638","15,883","16,016","16,498","16,619","16,539","16,646","16,667","16,383","16,932","15,992","18,692","20,067","21,478"
South West ,E07000040,East Devon,"13,046","13,586","13,748","13,984","14,505","15,154","16,382","17,021","17,612","17,601","18,047","17,655","18,380","19,227","20,033","19,790","20,840","20,727","20,480","21,302","21,706","22,955","21,490","24,269","26,502","28,204"
South West ,E07000041,Exeter,"22,748","23,868","24,514","25,796","27,519","29,553","32,522","33,286","35,236","36,258","37,477","37,332","38,020","37,374","38,398","41,392","40,550","42,383","43,683","46,423","46,312","48,013","44,668","50,481","50,154","53,528"
South West ,E07000042,Mid Devon,"12,216","12,493","12,586","12,824","13,247","13,351","13,979","14,285","14,779","14,642","15,001","14,357","15,149","15,565","15,661","16,372","17,335","18,040","18,211","19,151","20,100","20,264","18,324","20,993","23,792","24,874"
South West ,E07000043,North Devon,"13,632","14,776","15,107","15,479","16,221","16,961","17,855","18,485","19,732","20,003","20,498","19,971","21,191","21,662","22,189","22,721","23,344","24,750","25,496","25,873","26,455","26,824","24,317","28,152","31,597","32,816"
South West ,E07000044,South Hams,"15,122","15,584","15,912","16,749","17,496","18,693","19,958","20,687","21,553","21,689","22,246","21,175","22,360","23,520","23,523","23,875","25,309","25,649","25,921","26,225","27,138","27,057","24,991","28,939","31,140","32,864"
South West ,E07000045,Teignbridge,"10,922","11,358","11,676","11,942","12,550","13,184","14,012","14,461","15,179","15,189","15,501","14,744","15,793","16,332","17,009","17,600","19,046","19,537","20,225","21,111","20,891","21,226","18,948","22,581","24,776","25,839"
South West ,E07000046,Torridge,"10,920","11,164","11,177","11,347","11,949","12,292","13,025","13,378","13,927","13,807","14,379","13,836","14,495","15,062","15,498","15,760","16,658","16,138","16,226","16,899","16,960","17,202","15,934","18,244","21,171","22,401"
South West ,E07000047,West Devon,"11,188","11,558","11,554","11,930","12,454","13,009","13,836","14,384","15,027","14,911","15,065","14,245","14,860","15,174","14,898","15,587","16,263","16,480","16,826","17,192","17,292","16,965","15,919","18,124","19,065","20,334"
South West ,E06000023,"Bristol, City of","17,747","18,512","19,578","21,132","22,052","22,995","24,193","24,366","25,345","27,122","28,170","28,343","29,533","29,402","30,334","30,523","31,711","32,574","34,107","36,210","35,694","37,313","35,540","40,718","43,147","47,148"
South West ,E06000022,Bath and North East Somerset,"15,205","15,808","16,644","17,418","18,313","19,077","19,793","20,413","21,254","21,984","22,703","22,084","23,239","23,469","23,803","23,374","24,309","24,389","24,740","25,134","25,503","27,034","25,095","28,007","29,464","31,703"
South West ,E06000025,South Gloucestershire,"21,930","22,934","24,092","25,868","27,018","28,506","29,843","30,783","31,992","33,180","34,709","33,951","34,945","35,957","37,833","38,303","41,359","41,164","42,824","43,413","44,932","46,358","45,264","49,748","54,737","60,120"
South West ,E06000024,North Somerset,"13,540","14,097","14,608","15,217","15,801","16,416","17,133","17,480","17,788","18,347","18,786","17,891","18,611","19,036","19,594","20,380","21,343","21,778","22,785","22,954","23,698","24,555","23,355","26,087","27,457","29,753"
South West ,E06000066,Somerset,"14,224","14,942","15,602","15,689","16,169","16,786","17,598","18,528","19,340","19,506","20,170","19,571","20,035","20,530","20,763","20,905","22,097","22,290","22,462","23,933","24,777","25,365","24,470","25,690","27,837","30,486"
South West ,E06000058,"Bournemouth, Christchurch and Poole","15,662","16,592","17,329","17,862","18,229","19,464","20,509","21,641","22,567","23,136","23,975","23,314","23,305","23,487","23,655","24,832","25,441","25,774","26,960","28,991","29,018","30,345","29,028","31,671","34,276","37,048"
South West ,E06000059,Dorset,"13,791","14,719","15,518","15,458","15,733","16,116","16,685","17,564","18,142","18,410","19,559","18,656","19,394","19,636","20,171","20,652","21,572","21,536","21,901","22,868","24,429","25,155","23,905","26,024","28,594","29,573"
South West ,E06000030,Swindon,"23,992","24,764","25,666","27,974","29,158","31,032","32,187","33,608","35,589","38,295","39,758","38,909","39,154","38,263","38,076","38,800","41,622","42,724","42,944","43,422","46,219","47,518","43,321","46,118","54,647","57,253"
South West ,E06000054,Wiltshire,"15,422","16,185","16,841","17,856","18,350","18,946","19,721","20,211","20,622","21,434","22,033","21,403","22,504","23,031","23,796","24,351","25,528","25,305","25,847","26,386","27,204","27,944","26,413","29,091","31,217","33,332"
South West ,E07000078,Cheltenham,"16,459","17,136","18,152","19,406","20,184","21,167","22,278","22,691","23,200","24,051","25,206","24,696","26,560","26,379","25,822","26,374","28,167","28,524","29,327","30,477","31,409","33,152","32,411","36,025","37,555","41,146"
South West ,E07000079,Cotswold,"23,325","24,784","25,458","26,925","27,246","28,344","30,178","33,365","33,663","35,147","35,093","36,400","38,260","36,377","35,564","37,591","39,087","37,180","40,556","43,143","45,890","47,504","42,573","45,670","49,118","53,399"
South West ,E07000080,Forest of Dean,"15,907","15,931","16,547","17,451","17,302","17,835","17,366","17,864","18,727","19,876","20,575","19,307","20,339","21,429","23,029","22,255","23,527","22,863","20,452","21,760","23,569","28,832","28,990","28,999","28,233","25,981"
South West ,E07000081,Gloucester,"16,590","16,949","17,559","18,795","19,921","20,829","21,713","22,151","22,915","23,751","24,220","23,957","24,942","24,665","25,837","25,853","27,090","27,533","27,171","28,010","27,293","28,066","27,451","29,333","29,852","32,771"
South West ,E07000082,Stroud,"15,088","15,752","16,198","16,746","16,842","17,298","17,850","18,279","18,240","19,085","19,520","18,510","20,406","20,989","21,820","22,672","22,962","22,886","24,855","26,064","26,835","27,787","25,081","27,663","29,429","29,705"
South West ,E07000083,Tewkesbury,"22,192","22,511","23,047","24,224","25,155","26,137","27,269","27,744","28,219","29,131","29,696","28,864","30,005","31,037","32,278","34,783","35,488","37,472","35,491","39,348","37,567","38,629","34,917","39,913","43,240","45,608"
Wales,W06000001,Isle of Anglesey,"9,915","10,071","10,516","10,913","11,307","12,313","13,713","14,037","14,425","14,533","14,618","13,524","13,675","14,565","14,924","15,193","15,450","16,406","17,570","18,155","18,908","19,882","17,440","19,578","23,153","24,279"
Wales,W06000002,Gwynedd,"12,826","12,961","13,381","13,807","14,830","15,923","16,622","17,824","18,981","19,372","19,567","18,735","18,647","19,429","19,936","21,107","21,264","21,761","21,976","23,261","23,838","24,688","21,928","24,399","26,009","27,791"
Wales,W06000003,Conwy,"9,892","10,145","10,502","10,819","11,341","11,996","12,504","13,082","13,608","13,733","13,713","13,045","13,712","14,343","14,669","15,726","16,317","16,951","17,627","19,168","19,460","20,061","18,418","19,118","20,567","22,931"
Wales,W06000004,Denbighshire,"11,650","11,768","12,193","12,717","13,648","14,400","15,319","16,006","16,729","16,992","17,264","16,623","17,322","18,120","18,048","19,123","19,754","20,025","21,006","22,100","22,816","23,403","22,526","24,225","26,506","28,165"
Wales,W06000005,Flintshire,"15,696","15,852","16,511","16,732","16,912","17,744","18,406","19,091","20,442","20,658","21,707","21,033","22,251","24,657","26,124","26,956","26,946","28,024","29,576","30,253","31,769","32,576","30,704","32,584","35,987","40,053"
Wales,W06000006,Wrexham,"15,239","15,190","15,964","16,362","16,663","17,664","18,730","19,575","20,453","21,179","20,778","20,649","21,606","22,361","22,974","23,964","23,521","24,240","24,451","25,020","26,422","27,794","26,953","30,085","32,352","35,856"
Wales,W06000008,Ceredigion,"11,396","11,331","11,738","12,298","13,131","13,932","14,667","15,265","16,198","16,571","16,881","16,681","17,126","18,133","17,718","18,419","18,293","19,390","20,228","21,015","22,279","22,660","21,283","22,674","25,248","26,980"
Wales,W06000023,Powys,"11,189","11,493","12,183","12,681","13,146","14,120","14,578","14,878","15,309","15,742","15,229","14,923","15,500","16,162","16,879","17,440","17,976","18,802","19,345","19,606","20,201","20,529","19,504","20,321","21,976","23,918"
Wales,W06000009,Pembrokeshire,"12,129","11,800","11,870","12,849","12,893","13,982","16,617","16,200","15,670","17,264","17,035","15,409","16,079","16,079","16,854","18,649","18,703","22,490","22,611","23,936","23,255","25,459","21,369","22,858","27,754","27,555"
Wales,W06000010,Carmarthenshire,"11,226","11,331","11,736","12,135","12,663","13,273","13,828","14,570","15,260","15,572","15,693","14,777","15,288","15,905","16,729","17,610","18,230","18,842","19,588","19,811","20,616","21,726","20,367","21,494","24,525","26,212"
Wales,W06000011,Swansea,"12,951","13,269","13,834","14,690","15,247","16,137","17,360","18,336","19,040","19,674","20,167","19,999","19,978","20,595","20,927","21,511","23,227","22,907","24,022","25,072","26,436","27,301","25,339","26,414","27,953","29,592"
Wales,W06000012,Neath Port Talbot,"11,612","11,914","12,426","12,023","12,040","12,253","12,495","13,072","14,291","14,724","15,060","14,415","15,852","16,089","16,474","17,396","17,834","18,458","19,155","19,693","20,147","21,457","19,600","21,610","22,091","23,541"
Wales,W06000013,Bridgend,"14,141","14,385","15,105","15,333","16,070","17,077","17,765","18,461","19,278","19,600","19,854","18,642","19,698","20,405","20,494","21,487","22,648","22,527","22,710","24,071","25,193","27,027","24,955","26,145","27,682","28,830"
Wales,W06000016,Rhondda Cynon Taf,"10,242","10,486","10,796","10,980","11,688","12,185","12,607","13,280","14,170","14,546","15,037","15,481","16,634","17,352","17,802","18,671","19,485","19,224","20,226","20,561","20,908","21,440","20,159","21,085","23,400","24,565"
Wales,W06000024,Merthyr Tydfil,"10,974","11,421","12,217","12,610","13,217","14,177","15,554","16,690","17,114","17,458","17,549","17,128","17,241","18,057","18,057","18,266","18,375","18,845","19,284","20,185","20,997","21,236","20,192","21,002","21,725","24,540"
Wales,W06000014,Vale of Glamorgan,"10,957","11,426","11,847","12,484","13,088","13,911","13,782","14,311","15,037","15,076","14,829","14,753","14,862","15,345","16,347","17,364","17,551","18,642","18,939","18,656","18,617","19,215","16,883","17,706","19,660","20,932"
Wales,W06000015,Cardiff,"18,296","19,564","20,439","21,275","22,329","23,793","24,910","26,058","27,312","29,071","28,475","28,434","28,417","29,284","30,416","30,933","31,919","32,529","34,427","35,690","36,488","38,164","37,179","39,566","41,517","43,671"
Wales,W06000018,Caerphilly,"10,380","10,474","10,888","11,067","11,292","11,765","12,260","12,726","13,265","13,433","13,523","13,258","13,717","14,616","14,903","15,599","16,068","16,941","18,003","18,684","19,327","20,262","19,243","20,700","20,881","21,820"
Wales,W06000019,Blaenau Gwent,"8,804","8,901","9,391","9,580","9,935","10,224","10,763","11,314","11,691","11,915","11,878","11,343","11,982","12,726","13,290","13,531","13,599","14,222","14,316","15,420","16,347","16,588","15,644","17,300","18,939","21,357"
Wales,W06000020,Torfaen,"11,363","11,535","12,231","12,456","13,103","14,168","14,958","15,693","16,578","16,581","16,529","15,787","16,609","17,534","17,384","18,422","18,884","18,588","18,469","19,420","20,664","22,057","20,264","21,012","23,098","24,796"
Wales,W06000021,Monmouthshire,"13,145","13,999","15,117","15,592","16,233","17,011","17,748","18,410","19,301","19,839","19,992","19,098","19,470","20,230","21,014","21,369","22,395","23,570","23,310","23,787","25,062","26,017","25,292","25,619","27,741","30,315"
Wales,W06000022,Newport,"16,276","16,987","17,946","18,258","18,535","20,013","21,201","21,900","22,891","23,765","22,735","22,175","23,070","23,871","24,281","23,986","23,921","24,666","26,742","27,441","29,470","29,982","27,703","28,750","31,175","32,862"
Scotland,S12000005,Clackmannanshire,"10,407","10,934","11,299","11,411","11,966","12,843","13,461","14,180","15,185","16,021","16,275","15,691","15,740","16,400","16,552","16,699","18,576","19,420","20,214","20,851","23,091","24,190","22,675","25,163","28,282","26,916"
Scotland,S12000047,Fife,"12,635","12,864","13,291","13,682","14,243","14,950","15,563","16,161","17,456","18,032","18,627","17,867","18,226","18,521","19,128","19,929","20,813","21,176","21,728","22,402","22,181","23,041","22,363","24,078","26,279","27,465"
Scotland,S12000030,Stirling,"16,968","17,555","18,519","19,863","20,590","22,159","23,222","24,576","25,369","27,117","26,874","26,998","26,413","26,799","27,328","28,331","28,317","27,932","27,818","29,453","28,976","31,215","29,156","32,768","34,978","37,511"
Scotland,S12000048,Perth and Kinross,"17,579","16,910","16,816","17,248","18,547","19,537","20,467","21,345","23,816","24,301","24,269","24,972","24,313","24,846","26,673","28,423","29,534","30,643","30,597","31,631","31,767","32,657","28,973","29,408","33,057","35,660"
Scotland,S12000041,Angus,"11,255","11,568","12,078","12,409","12,766","13,449","13,629","14,201","15,576","16,132","16,331","15,624","15,926","16,283","16,537","17,452","18,606","18,080","19,126","19,532","20,293","21,676","19,658","22,012","24,840","25,918"
Scotland,S12000042,Dundee City,"13,916","14,240","15,438","16,218","17,049","18,224","19,340","19,976","20,737","21,543","21,857","21,456","21,862","22,551","23,006","23,614","24,361","24,807","24,899","25,596","26,293","27,494","26,183","28,392","30,017","32,615"
Scotland,S12000010,East Lothian,"10,197","10,327","10,602","10,969","11,595","12,292","12,833","13,251","14,374","14,712","14,601","13,990","14,313","14,846","15,164","16,324","17,196","17,418","18,066","19,008","19,795","20,448","18,871","20,412","22,399","24,554"
Scotland,S12000019,Midlothian,"9,832","10,208","10,860","11,278","11,717","12,425","13,208","13,649","13,947","14,450","14,816","14,236","14,661","15,293","15,722","16,875","17,624","18,463","18,732","19,327","20,194","20,886","19,834","21,605","23,230","24,343"
Scotland,S12000014,Falkirk,"16,192","16,062","16,600","17,188","17,732","19,024","19,965","21,061","22,256","22,561","23,925","23,182","23,565","23,419","23,306","24,006","24,845","25,692","25,637","26,372","27,331","28,512","27,026","29,159","31,209","32,277"
Scotland,S12000036,City of Edinburgh,"23,380","23,711","25,483","27,430","29,484","32,032","34,891","36,581","38,295","40,021","39,685","40,883","40,494","40,144","41,488","42,743","43,885","44,313","47,397","49,898","50,985","52,723","49,244","54,978","63,921","69,809"
Scotland,S12000040,West Lothian,"16,745","17,146","17,259","17,663","18,476","19,423","20,448","21,077","22,204","22,964","23,454","22,195","22,944","24,022","24,349","23,948","24,971","26,318","26,659","27,712","29,039","29,761","28,785","31,481","35,854","38,101"
Scotland,S12000021,North Ayrshire,"10,782","11,333","11,827","12,149","12,174","12,875","13,234","14,137","15,133","15,394","15,874","15,321","15,705","15,930","16,659","17,675","18,293","18,323","18,803","19,286","19,602","20,647","20,247","21,710","23,753","26,112"
Scotland,S12000013,Na h-Eileanan Siar,"10,444","11,359","11,881","13,008","13,211","14,436","15,524","16,411","16,836","17,251","18,185","17,776","18,619","19,572","19,805","19,903","20,598","20,415","20,629","21,410","22,363","24,461","23,731","24,928","25,728","28,192"
Scotland,S12000023,Orkney Islands,"15,079","16,154","17,269","18,340","18,352","19,880","21,529","23,234","23,374","23,952","25,187","24,938","25,466","27,243","28,049","27,120","27,676","28,470","27,717","28,007","26,095","28,252","25,927","27,770","32,310","34,973"
Scotland,S12000027,Shetland Islands,"18,275","19,072","19,289","20,465","20,803","21,874","23,746","25,045","26,364","26,716","28,505","30,104","30,004","32,523","33,030","34,577","36,792","34,807","33,632","36,188","36,009","38,901","35,643","36,582","37,815","40,844"
Scotland,S12000035,Argyll and Bute,"12,526","13,238","13,818","14,656","15,011","16,265","17,576","19,199","19,724","20,340","21,508","21,370","21,637","22,811","23,682","23,601","24,273","24,270","24,714","26,470","26,812","28,509","26,546","28,333","30,292","33,064"
Scotland,S12000017,Highland,"14,317","15,072","15,684","16,377","16,655","18,116","19,274","20,203","20,813","21,228","21,827","21,073","22,176","23,380","24,158","25,384","26,275","26,491","27,018","28,873","29,495","30,747","28,344","29,622","33,376","35,775"
Scotland,S12000020,Moray,"13,617","14,068","14,507","14,811","15,227","16,256","17,147","17,999","18,890","19,966","21,710","21,527","21,563","22,746","22,723","23,164","23,411","23,705","23,325","25,582","26,307","27,197","26,197","27,746","31,143","33,781"
